         20636979 function calls (20628057 primitive calls) in 9.734 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     17/1    0.000    0.000    0.021    0.021 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      248    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.004    0.004 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\hmac.py:1(<module>)
      331    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
        1    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\collections\__init__.py:355(namedtuple)
       16    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
     16/1    0.000    0.000    0.020    0.020 <frozen importlib._bootstrap>:911(_load_unlocked)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     17/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
       53    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      119    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.020    0.020 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\random\__init__.py:1(<module>)
       23    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFC61BE88F0}
       93    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
       16    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       14    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.019    0.019 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\random\_pickle.py:1(<module>)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\re\_parser.py:452(_parse_sub)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\hashlib.py:1(<module>)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\re\_parser.py:512(_parse)
        1    0.000    0.000    9.734    9.734 D:\git\performance-rrt\analysis_cprofile.py:22(run_profile)
